"Kevin Blatz","75","40","0","50","30","","","120","14","1000","1000","","","","",""
"Corey Wiedmeyer","76","0","0","","","","","0","70","1000","1000","","","","",""
"James Berghammer","77","20","20","10","0","","","50","50","1000","1000","","","","",""
"Alex Seibel","78","20","40","10","0","","","70","44","1000","1000","","","","",""
"","79","","","","","","","0","1000","1000","1000","","","","",""
"","80","","","","","","","0","1000","1000","1000","","","","",""
"","81","","","","","","","0","1000","1000","1000","","","","",""
"","82","","","","","","","0","1000","1000","1000","","","","",""
"","83","","","","","","","0","1000","1000","1000","","","","",""
"","84","","","","","","","0","1000","1000","1000","","","","",""
"","85","","","","","","","0","1000","1000","1000","","","","",""
"","86","","","","","","","0","1000","1000","1000","","","","",""
"","87","","","","","","","0","1000","1000","1000","","","","",""
"","88","","","","","","","0","1000","1000","1000","","","","",""
"","89","","","","","","","0","1000","1000","1000","","","","",""
"","90","","","","","","","0","1000","1000","1000","","","","",""
"Darcell  Salm","91","40","10","20","30","","60","160","1000","1000","1","","","","",""
"Bruce Kehler","92","","","","","","","0","1000","1000","4","","","","",""
"Brent Trewin","93","30","10","0","0","","20","60","1000","1000","3","","","","",""
"Glenn Oestreich","94","30","30","30","30","","","120","1000","1000","2","","","","",""
"","95","","","","","","","0","1000","1000","1000","","","","",""
"","96","","","","","","","0","1000","1000","1000","","","","",""
"","97","","","","","","","0","1000","1000","1000","","","","",""
"","98","","","","","","","0","1000","1000","1000","","","","",""
"","99","","","","","","","0","1000","1000","1000","","","","",""
"","100","","","","","","","0","1000","1000","1000","","","","",""
"Michelle Telian","101","30","20","10","40","","","100","1000","11","1000","","","","",""
"Katie Trewin","102","30","30","10","40","","","110","1000","8","1000","","","","",""
"Nikole Davis","103","20","50","20","30","","","120","1000","6","1000","","","","",""
"Emma Davis","104","30","50","30","50","","120","280","1000","1","1000","","","","",""
"","105","","","","","","","0","1000","1000","1000","","","","",""
"Hannah Wagner","106","20","20","","","","","40","1000","18","1000","","","","",""
"Ashley Briggs","107","30","0","","","","","30","1000","23","1000","","","","",""
"Crystal Rivers","108","30","50","10","40","","20","150","1000","5","1000","","","","",""
"Jordyn Maxwell","109","10","50","20","10","","","90","1000","13","1000","","","","",""
"Lauren Beekman","110","30","50","30","20","","100","230","1000","3","1000","","","","",""
"Taylor Liebenow","111","20","30","40","20","","","110","1000","8","1000","","","","",""
"jill zimdahl","112","20","20","","","","","40","1000","18","1000","","","","",""
"Elizabeth Russart","113","10","30","","","","","40","1000","18","1000","","","","",""
"Jaylah Montez","114","40","0","","","","","40","1000","18","1000","","","","",""
"Maeghan Michels","115","30","30","40","30","","60","190","1000","4","1000","","","","",""
"Tonya Robinson","116","20","50","10","40","","","120","1000","6","1000","","","","",""
"Andi Merbach","117","30","30","10","20","","","90","1000","13","1000","","","","",""
"Jess Hesson","118","20","30","","","","","50","1000","17","1000","","","","",""
"Shelley Odekirk","119","0","0","","","","","0","1000","28","1000","","","","",""
"Lexy Schelvan","120","0","30","","","","","30","1000","23","1000","","","","",""
"Shayna Vitton","121","30","0","","","","","30","1000","23","1000","","","","",""
"Allie Rosenblatt","122","30","30","30","20","","","110","1000","8","1000","","","","",""
